"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",1286890000,0.826389,91,144,25,119,26,24,0,24,24,80,76,41,20,24,23,1
"2",1,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",4909090000,0.808642,91,162,31,131,32,30,0,30,30,87,80,46,22,30,29,1
"3",2,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",11985100000,0.833333,91,156,26,130,27,25,0,25,25,85,81,47,25,25,24,1
"4",3,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",1286890000,0.813333,91,150,28,122,29,27,0,27,27,83,77,41,19,27,26,1
"5",4,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",4909090000,0.852113,91,142,21,121,22,20,0,20,20,86,82,37,20,20,19,1
"6",5,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",9588070000,0.85034,91,147,22,125,23,21,0,21,21,88,83,39,22,21,20,1
"7",6,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",23408400000,0.840764,91,157,25,132,26,24,0,24,24,93,87,41,22,24,23,1
"8",7,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",9588070000,0.855172,91,145,21,124,22,20,0,20,20,87,83,39,22,20,19,1
"9",8,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",14981400000,0.830189,91,159,27,132,28,26,0,26,26,84,79,50,28,26,25,1
"10",9,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",29260500000,0.846154,91,156,24,132,25,23,0,23,23,92,87,42,23,23,22,1
"11",10,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",7670460000,0.849315,91,146,22,124,23,21,0,21,21,89,84,37,20,21,20,1
"12",11,"[91]RaAkklPoANctQaGNNiAyAfPdAEpbsHNBveSebDbgtvOlsMmILEHbJDnqpPlggfynCgghqkQDsHqQaedzOcKNcJwfqQk",3927270000,0.815287,91,157,29,128,30,28,0,28,28,86,80,44,21,28,27,1
