genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[99]QEtxOOmNzzdtQaGnwzkFufPgsEpaoHNBveSebpjobsOdlPMcoILEHxrvDsCbpoqwnFHgjRmeRHRdicqpomnediOcKNcJwfqiPKI",1.18305e+29,4.90909e+09,1467,0.781525,682,149,533,149,149,0,149,149,227,227,306,157,149,149, 1
"[86]eNCMncQCcuNJNzkeHESAvODxmSESwpnmJzduaOFyoDxecMdkFaEhjHcKitJHlPIHRLdqIrKfPzBQpHqkEsAihj",7.49848e+25,5.71494e+10,1381,0.700301,664,199,465,199,199,0,199,199,311,208,127,127,226,130, 10
"[67]tAPlBMEeGPrcjyeEFpnDqIfMHSFGEsKdikHmxHRQDOKqPtSsFejbrozMIHGRLfPOJqf",1.39525e+11,6.13637e+09,3517,0.875,152,19,133,19,19,0,91,91,340,328,180,103,86,85, 100
"[87]xAwgPAayzddsNJPBHRbKHqlfBEdfpaSpmpypQIpbKLqfiGImMxlQFFEczHwEImSjGofOAjeaewbFmsODcDOOagd",1.18305e+29,3.47306e+17,1726,0.779975,809,178,631,178,178,0,178,178,266,266,365,187,178,178, 101
"[106]MvMcshyPwLclDPtMdkAEPicEAReLcEIclcrHpSlRKocGNbbmhgHQJhMpNHNORPcqNJHOLrkrbiEnkQMDElKhdJGnpvsNaJlBtLHjKEfzpl",1.18305e+29,1.52747e+16,636,0.752957,6679,1650,5029,1650,1650,0,1650,1650,1724,1724,1649,1649,3306,1656, 102
"[104]xScmahPLNKaBOGyjyHcocJORNzMiqMpzagzMOrILiiefqakjKOogMHxDbNaccawzpHLnssrHmioPzldxwwgDbllFJPkrjQfhreOjiKRC",1.99136e+06,11.6415,753,1,64,0,64,0,0,0,0,0,44,44,8,8,12,12, 103
"[65]SiOHmGqQBapRgbwnjBtklxQpycpDlFltNJHRKHqoaeGIobSLjaaHqNrdKaacDyOHI",1.18305e+29,4.00417e+15,1607,0.749957,282047,70523,211523,70524,70523,0,70523,70523,70517,70517,141007,70483,70523,70523, 104
"[89]fAohjnRMawxOqwkyrJHfPmycRLHPIdcNuExjHOKJmHOLHPGOvfPDCtqHAwzjFGdDvbwuLdOpNlNrJdIECrPxlIKSc",4.57195e+10,1.87267e+10,3182,0.851613,155,22,132,23,22,0,42,42,163,158,50,50,89,50, 105
"[82]sSbFjlsHcIKPwjoyfsARemjEhrgDuimAaScvbcBAvHGeDoJnNAkcfNhhtftHRKNJqDadkfIjbHcPHnbbML",1.18305e+29,2.36364e+13,2444,0.750397,14499,3619,10880,3619,3619,0,3619,3619,3644,3644,7236,3617,3619,3619, 106
"[38]bAxixzRvfOazRcKHNJHgxcOCILHNJgNGHCorcb",1.18305e+29,4.61649e+13,2696,0.746819,16032,4059,11973,4059,4059,0,4059,4059,4005,4005,7968,3909,4059,4059, 107
"[97]jfkdxpzMPJHyOjFSsxKMfOhkFQlDNGymmpeapkcRKGceQzuyjMAhksRLfNkacihMMoJNDHomOcxejcPvlccPEdaGOChqNqCCH",86.7362,14.5519,830,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 108
"[99]zFvAHMKGgyJjiSxAluHNJGSolyRFaoNdBzHqAhnofPLCPhOsbjsveowNBIizEsMCmqskQBwysaDLognjobQrcnPQhNODArDQkSg",14693.7,69.3889,2374,1,42,0,42,0,0,0,0,0,29,29,5,5,8,8, 109
"[86]mBAbJjcbckckByPPnNgvlvjAepvcPrRLHOeMRRxcfRKHuPIcePBxwFperQDonbePfwEcAAFxcpFcqbydMrPqzO",1.18305e+29,3.62227e+07,479,0.698152,11148,3365,7783,3365,3365,0,3365,3365,3008,2603,4726,2580,3414,2600, 11
"[96]GOPxEcORcfhHxRefKvHmFSqPdQhrwFeRQJqvSDOFsMkwbrjPKIBNpbzmoxBGJLucoBRdBIuxAMedfnbvLQHOCkQCuHRuFMfP",1.18305e+29,1.29943e+12,926,0.749969,23825,5957,17868,5957,5957,0,5957,5957,5943,5943,11925,5968,5957,5957, 110
"[104]GdsQiPRgxfadFEifRNncHENJHSDMESeMMyeDkPSliMdInuNKItfEchhQGDcuHoIxcNsSFaofcGPgELCHSFFgzIvfHmIJRvObnzajDEcM",1.18305e+29,3.62227e+07,908,0.612064,1807,701,1106,352,701,349,1050,701,406,406,701,349,351,351, 111
"[101]hhpuBQokhMPitjcOQlxydvrkcRJHSHOQccpKlfHPIcpCmPLdkSlcbRzcPnhmwdtgaNMaOGwFFeqkjCFQoBEqggGqPAfqaFkEBRRHn",1.03954e+12,4.57195e+10,615,0.825397,189,33,156,33,33,0,62,62,169,169,125,63,62,62, 112
