"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",9.31323,0.909091,108,11,0,10,1,0,0,0,0,8,8,3,2,0,0,1
"2",1,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,49,49,11,11,17,17,1
"3",2,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,49,49,11,11,17,17,1
"4",3,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,49,49,11,11,17,17,1
"5",4,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",3.8147,0.857143,108,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"6",5,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"7",6,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",4.76837,0.875,108,8,0,7,1,0,0,0,0,6,6,2,1,0,0,1
"8",7,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,50,50,12,12,15,15,1
"9",8,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,50,50,12,12,15,15,1
"10",9,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,49,49,11,11,17,17,1
"11",10,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",3.8147,0.857143,108,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"12",11,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",3.8147,0.857143,108,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"13",12,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,53,53,12,12,12,12,1
"14",13,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"15",14,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,53,53,12,12,12,12,1
"16",15,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",9.31323,0.909091,108,11,0,10,1,0,0,0,0,8,8,3,2,0,0,1
"17",16,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",3.8147,0.857143,108,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"18",17,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",9.31323,0.909091,108,11,0,10,1,0,0,0,0,8,8,3,2,0,0,1
"19",18,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"20",19,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,49,49,11,11,17,17,1
"21",20,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",3.8147,0.857143,108,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"22",21,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"23",22,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,53,53,12,12,12,12,1
"24",23,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",4.76837,0.875,108,8,0,7,1,0,0,0,0,6,6,2,1,0,0,1
"25",24,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,49,49,11,11,17,17,1
"26",25,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"27",26,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",9.31323,0.909091,108,11,0,10,1,0,0,0,0,8,8,3,2,0,0,1
"28",27,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,50,50,12,12,15,15,1
"29",28,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,53,53,12,12,12,12,1
"30",29,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",9.31323,0.909091,108,11,0,10,1,0,0,0,0,8,8,3,2,0,0,1
"31",30,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",3.8147,0.857143,108,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"32",31,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"33",32,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,53,53,12,12,12,12,1
"34",33,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"35",34,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,53,53,12,12,12,12,1
"36",35,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",36222700,1,108,77,0,77,0,0,0,0,0,50,50,12,12,15,15,1
"37",36,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",2.44141,0.8,108,5,0,4,1,0,0,0,0,3,3,2,1,0,0,1
"38",37,"[108]dhbnnzMcvOLecQvmbrarOeHGhGHNJSOBkRagsFeKqezllAOjGccJowvgQxwaBKGJQmOjQJoxNOyamSdmcBxPhuhufEgPKwkSExfPbxywGFoq",9.31323,0.909091,108,11,0,10,1,0,0,0,0,8,8,3,2,0,0,1
