genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[104]jStyxttFlokturQldprBoxhFnCfgevuReKHSMOaJaeHqInpRsBemmdlfLjrSfbOGCrLQsKPyJkNfcsyAvcHMGnGtbgDwMpwqSiuyAckw",1.18305e+29,1.51273e+13,1200,0.757267,2752,668,2084,668,668,0,668,668,730,730,1355,687,667,667, 1
"[90]NyeMcQAhGHOKEMqJqACtyzFmdzNRlPALPcNLsiASnzRlRMtuAkCFIKSMnmAOtQMQQMwGgHJLfmwBpDdCNHpBqeDfmS",11.6415,3.44141,2640,1,10,0,10,0,0,0,0,0,17,17,6,4,0,0, 10
"[93]GjFQaBCJSDzmvcBHNJHRKqIPLCzQNfxfCGSQhFmrplmKRdxkzqhDmjLzazsmjmvCplMBprtwJkJzDHAinEEOAGIMFCNDr",2.58763e+18,7.67046e+09,2641,0.796238,319,65,254,65,65,0,65,65,122,122,133,68,64,64, 100
"[84]bRFHBfdoJmNqNecKpurHPldihOqRsMuMvkNdmILqIzKCeshtzMhffELjeIpoqoeCREoOzvsjsfKNkzuOhuRc",1.18305e+29,1.32487e+18,2648,0.751583,4581,1138,3443,1138,1138,0,1138,1138,1177,1177,2267,1129,1137,1137, 101
"[84]MejifzuHOKHcNjDcAmmCcgSMzdPcDafJAcqcoIommIiHoGBtjvtsxfloFefcadosRyglgcgeQPRslcPsLzNg",1.18305e+29,1.03954e+12,487,0.744311,747,191,556,191,191,0,191,191,215,215,342,151,190,190, 102
"[97]ndHbnQGNJtHOKmcpeHNJHcSPvfCGlycGtQhxSMQzCHfGaawFahRjigISiOBkrcDhilRcwRKJtPuGNElwMAfluyrIfqLzNdJzl",1.18305e+29,2.03035e+12,1018,0.777126,682,152,530,152,152,0,152,152,216,216,315,163,151,151, 103
"[97]hsydOGdztdjcjpbouvkeslEbvHNJpdbkNCpNcRKFSpNytuEHOdkhFcDEtjCulbAHzeRdRzOvQldvIwjLbRJxPcrbwbCiIvIzN",1.18305e+29,6.65306e+11,1160,0.791525,590,123,467,123,123,0,123,123,200,200,268,145,122,122, 104
"[109]lvMdddmbHrRoGoJSKEnthMbyyxFDLJwKNPydLObEjRszEscMybQJpGpAHgNtQSoIwcopoPEwDdqObixJjxGGAjysDgRDtcEJewQBuwKxjFuDx",1.18305e+29,1.74406e+11,2118,0.764923,1357,319,1038,319,319,0,319,319,387,387,319,319,651,332, 105
"[91]oMLQnHQcHcxvzojfbPIwRLEcHnxzxchcxQBRcKcoCwmaHSMSgHdooeFyfMgcncLzFHSiMGMjrlNlJkHHBdNyjpumOvE",1.62428e+12,7.67046e+09,526,0.810945,201,38,163,38,38,0,65,65,173,173,65,65,118,53, 106
"[85]zjpIkpzFgghDfHezotpunwHNJSEcPqOcCybRfeefGOFficPKDennQRLHbmiCrOKluqvfQisOzrghfAMjKkFQm",1.18305e+29,9.58807e+09,1418,0.757922,1925,466,1459,466,466,0,531,531,759,759,534,534,1079,548, 107
"[108]bucRLPoAaNJGHSryBKHOcPydcpmCNphehipxBQqcrfIyrrjBLNpNzzyRHqfIbwGjSsKIviFPMKvcdpbDNnrIDuapGvnzAwMzaMhxBLaHSmkk",2.01076e+09,4.76837,1073,0.989691,97,0,96,1,0,0,0,0,60,60,16,16,21,20, 108
"[101]nsCfkikaffejQchggMdccysbOHAOKhRfGEcmxvpQeFcHmcHMcmndSMKiqbPDtJdEjhpymMzDhSnicJQILgkOsxRwPglFvzucpdclH",2.95455e+13,3.43955e+14,548,0.841584,202,32,170,32,32,0,74,74,196,196,166,92,73,73, 109
"[96]pNxQygdHMxbFczloJMOSwrncyktlGlxjOFzBdKmepkEOLHnRaDlOaGDfFIBkOJcEkDDkNfgcwHERiKMpRgyxoSFCzGpNneqa",1.18305e+29,5.2711e+08,672,0.770492,671,154,517,154,154,0,154,154,201,201,154,154,316,162, 11
"[95]eeAecqccnOMCdcpAcSvEuNKBsscfccALkcnoHQdIHOqPIuAchtMOLlHRMcbxRKbsjvzFneiENgQJcssOesAhsjlxHMQdNPG",1.18305e+29,9.28267e+22,644,0.749927,349306,87352,261954,87352,87352,0,87352,87352,87061,87061,87351,87351,174894,87542, 110
"[96]ewHbgPyRbKNDobJOESeIOCamDwsFehtIQrvPiBgjOuvpqDrtwNMfepQiBKGeHFurtDyLnggdvCspBsncAenaSOAdSLtgmoHe",1.18305e+29,2.34084e+10,1068,0.794175,515,106,409,106,106,0,106,106,177,177,233,127,105,105, 111
"[101]AAvAlzoniHsdhgmrrwrveseQioMGAFdHswlrkcanefsNJmCfgRKHrbHfqotAcwFaIpEdzAbxAksvwoixQqawLktgHRLgwEadBlliN",1.48368e+07,70064.9,702,0.841121,107,16,90,17,16,0,16,16,59,59,31,14,17,17, 112
"[96]ypbDHPSQefSHcRKMEQNlBlpCqJqcCxnfSujINOqPBeHIvOEEBkGoysSoybODKcRGdirNbHRaBILMDuDSFHJpeIoxdGMHkrJH",1.18305e+29,1.39525e+11,1414,0.769971,1039,239,800,239,239,0,239,239,317,317,484,245,238,238, 113
"[95]adnussMPphNQfxsEFRKHPDqaBdJNSoerCsCaualjlIEpljMLoBOHRqNoRDICgAtgciEcsyxFPiSCFeSGvrRhOesAJdhodBr",1.18305e+29,7.67046e+09,1781,0.751589,7552,1876,5676,1876,1876,0,1876,1876,1927,1927,3750,1874,1875,1875, 114
"[94]RIcHuwuRcKHEPwDuftdJBMgHrcOpEcwcivuaawfccQJoRNeGycwMocOLcOAnpJicjcbdoffjaMgHmgEcHPcqPFqCydrNcG",1.18305e+29,2.15904e+08,337,0.777614,679,151,528,151,151,0,151,151,228,228,150,150,301,150, 115
"[65]jicFobNcpvjvrHfnwHMDJqFgLHPIRbMRaqKqmlmkummoNqdhMImEudxScQlrbfEqL",1.18305e+29,8.92959e+10,2640,0.781942,587,128,459,128,128,0,128,128,198,198,127,127,262,134, 116
"[76]MRopobJxePPuvGwvGoihicpJEisHOKHNJPDqpoRemxcqArebqzEJPFCRuAQdGIpdRLMqihEvFQRa",7.97376e+21,1.39525e+11,3190,0.789203,389,82,307,82,82,0,82,82,139,139,169,87,81,81, 117
"[101]aDnHxNJayohRceglHNeoRfFNcRpxpdvEcnRccicQrNOFCfdnSockKDyICQbduwsPaPQKeeFPcowckbFsRwItBpCHLNwtFfCSbGPGs",1.18305e+29,2.34084e+10,510,0.780405,888,195,693,195,195,0,195,195,270,270,424,229,194,194, 118
"[102]NhSvlPiAJuFyCIAQHuxMQkpInxfpuIjyvqNAjqjGqlDeSKPwuAkapcocycwbNbJHSNCKHbDecFobdGzlcPRCmaNKyncakIdkdfLoCB",2.86044e+26,7.67046e+09,730,0.761538,520,124,396,124,124,0,124,124,165,165,232,108,123,123, 119
"[99]DLceitGNoHuoeDuGxPIeBEhiRObGFjPRdBdRrOtDOqealRvMjhEQKeHoRKiHmtHgecbOBcNJjyyDlJvbmRdqAFKatfdljgsrfyA",807.794,56.5112,1145,1,29,0,29,0,0,0,1,1,35,35,7,6,6,6, 12
"[98]gpeJdwnccefpieHDrOSRcNfwRKPOfAHDtRKkletHnFbfmeeMNSNrROIlLSkycxBkaOqtQqGySxDlpcEyxAmcguHlRKEcRmdHHH",3.43955e+14,8.84344e+07,462,0.801619,247,49,198,49,49,0,49,49,111,111,88,39,48,48, 120
"[100]lNHcjPyPGScKnbfHyqacHRlxMHbxMucpFPcDMMwNJMrsHlNJHgRLlFxMHgFOqRvzrEIqobDklsHuvDElbIHPpAOLCsGorsEbsAyL",4.95692e+12,1.87267e+10,850,0.869318,176,23,153,23,23,0,65,65,261,261,77,77,135,70, 121
