"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.85,108,40,5,34,6,5,0,5,5,24,24,10,5,6,5,1
"2",1,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.888889,108,36,3,32,4,3,0,3,3,21,21,10,7,5,4,1
"3",2,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.85,108,40,5,34,6,5,0,5,5,24,24,10,5,6,5,1
"4",3,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",56051.9,0.842857,108,70,10,59,11,10,0,10,10,37,37,21,11,12,11,1
"5",4,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.85,108,40,5,34,6,5,0,5,5,24,24,10,5,6,5,1
"6",5,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.888889,108,36,3,32,4,3,0,3,3,21,21,10,7,5,4,1
"7",6,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",4814.82,0.836364,108,55,8,46,9,8,0,8,8,30,30,15,7,10,9,1
"8",7,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.85,108,40,5,34,6,5,0,5,5,24,24,10,5,6,5,1
"9",8,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",56051.9,0.842857,108,70,10,59,11,10,0,10,10,37,37,21,11,12,11,1
"10",9,"[108]qQsamoJlsaklxbBcjPbpKBERbyauOOscCSoshbqHKintlulrwmNPrRHFSJdNnwvgsoyDAQjrcuwopaezAHlAPIHOERLodJrmwcEHlBHSwjRG",646.235,0.85,108,40,5,34,6,5,0,5,5,24,24,10,5,6,5,1
