genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[99]xHRKGNJqCzHClwENRvpmasSKmEgOCOdeRKphMNMIQCyfRjrBuRbdzGktjlBfQcAuwertlRxslLSRkidyFCfkuECpeuAjdhaIMNn",55.5112,1.25,2589,0.947368,19,0,18,1,0,0,0,0,11,11,8,7,0,0, 1
"[96]gAeHxoJHSKHgMqfILHqFbuNeInSdsOxAlOwKPrJpMwLDyeFtupjruRrjskIsuPtNkmxJldCegihmeAotIrwJNkSfaegscCgb",2.61284e+21,3.92727e+09,3373,0.760664,422,101,321,101,101,0,101,101,115,115,206,105,101,101, 10
"[101]KJGCyJOcRSIqQxfmEOEexgdkfnfQgmjCraFLeNsSERpAcvmhRrhpxKRQDnjJxbgKSChfpaFJtImhBlkMgGAQdvuEwmDtGeGnpPakQ",1.95312,1,2588,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0, 100
"[81]LbLxNiexBmAuGqdLREwIFLCCPBvHbnLjHmAtzOnuPDOPjKPxcfKcJBcmlCCFRmNxdNzSpysuDnGtGPQLk",1.95312,1,2523,1,2,0,2,0,0,0,0,0,0,0,0,0,2,2, 101
"[98]aGNJmHOLqhEPlentSKgOGqsLoGoOJvkjeKiMHCBhjwqqpEegjhybOxAdcvvjFdAsLAzHRxLlkRvmfiFynvbtPbnrlaSPdgqiAg",44.4089,2,2567,0.944444,18,0,17,1,0,0,0,0,8,8,0,0,13,10, 102
"[80]BJvGobfMGhSQqhGFgrSCjkytCfxjIuHyQoHGdiRqNpiQOshyKKEmmokvyQBNcDChnAJwHRvNAaDqqdof",1.95312,2,2454,1,2,0,2,0,0,0,0,0,4,2,0,0,0,0, 103
"[91]KcsBGnidhydFJFsBMcctdJHSEtvMPcomIAezQdCcdGatvoDaBuOsyIhKRKMSkIHPiAKxmfcnACQhDMsBbBAkkwgwDOx",1.95312,1,2517,0.75,4,1,3,0,1,1,2,1,2,2,1,1,0,0, 104
"[116]yelcRLANJHSwKHOqDSIJDMvEMIFNCqebDjPHcDKezbGkIFmKAtSxQlQCrurHMmNbaxkufnimHKehtGtREmmofJlchStEcksElJQubnItMgNrGDpmOLiN",3.80218e+22,2.6988e+08,3646,0.753275,458,113,345,113,113,0,113,113,118,118,227,114,113,113, 105
"[100]lHPCRLqaJqeRicrIIGKqKJHiPupdzpIgRjasKhzKrlvpOFgxnlKftJaCvKKSqqzAxetgfAkfAxautMLGbcvrGyMKpFnuQpNxLnvD",6.65306e+11,1.60861e+09,4384,0.810256,195,37,158,37,37,0,82,82,96,96,81,81,202,120, 106
"[101]JGcbsMDEibaimRoJlrCtlPglKaosDQxRfwleQoumrqxMBqLpHRoIcEFrvoyIAedeqFKMzgfqSscMGreRMdjxNpgzitdrQOGyCtiRH",1.95312,1,2532,1,2,0,2,0,0,0,0,0,2,2,0,0,0,0, 107
"[89]hGHMDJRLqcDimxQcEsevABPOmKzjemvrbIxOMBvjyhhnAmpvRyGdhnRNrujiRPnzDQIIqbqRugtnmBvvewDdElJLy",69.3889,1.5625,2622,0.95,20,0,19,1,0,0,0,0,8,8,0,0,12,11, 108
"[96]JhGQqCytvDMQCRfSHLjmOhIqQGjdQmLjNnwMJgCBtegPRtrsibSvbFvtlxvSvyJaDONyJbehNejOQQaNBMiuFlCzGEoNKxBl",1.95312,1.25,2489,1,2,0,2,0,0,0,0,0,2,2,0,0,0,0, 109
"[105]LGkdLnASOjJHQILoJPzEEKmnpawpggxwRDqlnzgexGQSigNdMvgxHAttuyMOsrFKHcEbsxLrviixpSeNizxJDemPdayMbMJwxqDgRiimI",3.05176,1,2530,1,4,0,4,0,0,0,0,0,1,1,1,1,2,2, 11
"[103]qmjjtGRLNJHCtCfBAeruGwnrkLaRQkzFKAwLmjjMGqmScHHjGmGREzCFwgErrrsRbhxdDGsPPiRRcQgeFMmNhLOGRlLnNkDqLibhdPy",55.5112,1.25,2631,0.947368,19,0,18,1,0,0,0,0,10,10,0,0,9,8, 110
"[104]LGHHEsLogKFuHDxPpHqGDgSBKtSxJGjHnexItJixLitpfOAOBuueIxbDAlbrdGzwpKysaJvfApnMvvNfFKNvpAwRKBsMIKsJiECBCCfE",2.44141,1,2438,1,3,0,3,0,0,0,0,0,0,0,1,1,2,2, 111
"[120]KGHolicRjRSeEHNJNKqFIqGwgvkvBjRRupKpfyeNrJLdyoGcEECKkSEHjdRepgaJxKppdHJBeHfeSAcnfsiaKooSDDfxhJFzFKPQKzjzJJeahpmMMIcGyvim",2.44141,1,2574,0.8,5,0,4,1,0,0,0,0,2,2,3,2,0,0, 112
"[93]AGHNJOLqGNHfnesCOkwJtMKnzMqCvbSJsxILdnRsszzfQIizxIpNJEhGMDeozCyehpSDMrwQxMNisstyBGECxCMJDFanI",135.525,2.25,2597,0.956522,23,0,22,1,0,0,0,0,10,10,0,0,15,13, 113
"[101]KPrazoErEjBFmLhtKwGGCqoKowMDEvvbquOFxEHIfIPILANnebHPLdDEGCSpsKRqEKPBnOmFSsncbipvdlJBlvBdrbyKbphmdCLqu",2.44141,2,2499,1,3,0,3,0,0,0,0,0,0,0,4,3,2,1, 114
"[113]KuRlGkrLEtINBNgEetGNyFmfoAvPrsbNbDBsIwHMHKpPhkvshlzAshMOEEAGRDRhoSLqCSvSFodKCMGKIdkCtnsbqebkwosQrORzEztEdLKxOPcBA",1.95312,1,2501,0.75,4,1,3,0,1,1,2,1,0,0,2,2,1,1, 115
"[94]KKsygabcGqwIzscvGExpwMIAJxIuQxCjhtNAozxozStlBpvbwExRQxiuRndrCylqzizwnEkBnwIMCrknGirRoMHGfeOLAF",1.95312,2,2495,1,2,0,2,0,0,0,0,0,0,0,4,2,0,0, 116
"[88]FBGHGNJAbPffSKBqPhkSCrBGbBPIJaewLwNpEMBnvlQhKtooCFuoRLeHBkDachlnMdDftwbpvdkgvbCnqrBPPQme",55.5112,1,2582,0.947368,19,0,18,1,0,0,0,0,12,12,7,6,0,0, 117
"[112]kHOLPBGNJqISaHcyKHqCExmKzwrEGxMwjqdOkJrrSPDBPEIpAhcQKNDNvwdCdMCdjzlahaBQkEOKrvSdufmibQhaLijEbLsASpmOHJxvJRzlIhwg",7.74518e+12,8.92959e+10,3316,0.851064,188,27,160,28,27,0,60,60,104,104,92,92,170,109, 118
"[119]gHGNJrHOLqCvItqsHxnaDuHSwhJJjyIJRmJrlmktERBPyppAOdcguLSuFnvIlkJzwarzMtzwCQheHCHohuyGpzGkaMBwrpgrILnwKNPxkhLBwjvkjsCkgQq",135.525,2.5625,2646,0.956522,23,0,22,1,0,0,0,0,13,13,0,0,13,11, 119
"[101]LFqxMxGDuRALgGEoJRSwjCAovlJDuGBresofFyCySAKFimlaImqrMLqAbLiEwteMnayoCKPtMxwhGqzfMJNuDnoMmeAPeCtNAJbmh",2.44141,1,2518,1,3,0,3,0,0,0,0,0,1,1,0,0,2,2, 12
"[86]NFuEEDwLmgEluHPDNJSLnqjFnOGDMQcEbFIoDIKquPvEsSbEDpzelJyRArqAHdfuQtIiHqStKwQbjrxxKwbFOv",3.65756e+10,1.10543e+08,4201,0.716,250,70,179,71,70,0,70,70,54,54,70,70,126,55, 120
"[105]KfGSHAMIgKRtFBukFftAsElaadGrNClNySMLvHPeOfrFcCHMlMxuxIyKdEyxnxjMElNmKFvQtQFzyFJrsbFseCNqmwoOJwgteDfnPezzm",1.95312,1,2524,1,2,0,2,0,0,0,0,0,0,0,1,1,1,1, 121
