genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[98]JBfGnbPgsmtblHEkHRKDvSBDOKlnQpIEEvkJNSHyySoaKtiJeoxGhiOhHSALeBNabGzqhjgoESGcjvCxQkPHhcFboikRcjwuBG",1.04858e+06,1024,3292,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 1
"[42]xQHEtAyQwrdmHcvbMPHxlBkfGnqziMjHRKFekJCFHq",2048,128,3890,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 10
"[96]sjanCodEJDQqfekFuDCQLsDCRxMgHvdSDcPocQwMdLHMPNSMdPIoEhdAyPldRDKuOHRKyvDDdzHFiGbDiqhpnHztJHlowMxi",2.3384e+49,6.80565e+38,5071,0.824701,251,44,207,44,44,0,274,274,769,769,280,280,604,330, 100
"[67]hRecSntafkfwFfqlJNfGHfHcScNHanfLQennfqibdaKqQJflrayqBRbaPgOMLlIicxv",9.5781e+52,1.49658e+51,5677,1,175,0,175,0,0,0,0,0,103,103,38,38,34,34, 101
"[97]pOiczPNjjrxbONptOeBdEHleDBuMwMxtALxgGRAvCeSuasHODpwPdGPcBMDQwJqiuPsQLqrNLptMOfIQogehdKFDewrDyxwBr",2.20856e+71,2.51084e+58,8132,0.815508,374,68,305,69,68,0,144,144,273,273,144,144,304,158, 102
"[237]LzBEzzzzzzzzzzDdzzzzzNHcHPIBqjnRJjoMHcxcpFOKocJNRzEHoSLySlGybpisExzmKIiRJwuaqRuEgiyNStuCJvjPhMHDAOPOqiNPokSINdLFzqBnEtwoHqbOKEzKLkLjhvOOjCGAuefIhBNyEcIHypBOIvhQEdqiAKcsgEPwbzQKSIzwCMMIOMolxEyMgMLrJSeHadfJFFlNyqfLgBgGFHuMerKsfvwsECpGwzFcv",2.03704e+90,2.03704e+90,11580,0.766102,590,138,452,138,138,0,138,138,169,169,137,137,284,146, 103
"[96]cHObKvDefveBNAwNJHRQqcPdAxLHcibjbfSFqcJnGLBSrrwfjfuiOOxkpIyLFyIEyIlzgQldxbHCFvIsRcyHNkIkCNHdvJmr",1.05312e+65,7.84638e+56,7309,0.791328,369,77,292,77,77,0,77,77,136,136,76,76,157,80, 104
"[94]vaSaDzAnvtEAGCvdjcMRqqsRiOFEvMqCDrLCjiHSAQpGpzQEkkAaaSzJMoCCEmqFlEaHNJHSyzHcnEjKGSILDtokLuqDdE",1.36113e+39,3.32307e+35,6755,0.856354,181,26,155,26,26,0,116,116,359,359,247,130,116,116, 105
"[209]NIxHOKEDgustQDSsthdODJqBJPCfSHPDSqAdSyDCuxuilNjnyILzmjMmARvgiSAjcvzfifpIhGQCetNIBLOoLSbnRNnsEpCDdFtRzlcKGhrxiJNfDNFpzDAivbPzygqkuHDkokHRpmkbEQHCcxxixSFbbRnIeIKmGpkIqCCFDLPGdpCcFwRmuQHyyLfOSLIrOyyxrNhBRyztcmBpG",2.03704e+90,1.55414e+85,13047,0.787823,542,115,427,115,115,0,236,236,344,344,486,250,236,236, 106
"[77]FfDcjRLHNJHSnDGBjKCINzpHCIoiejqSSthaLmGpGlqweJIIMrhdnjQuGnIQKDCdqoxkdreiDiuEO",9.26337e+77,4.21249e+65,15388,1,258,0,258,0,0,0,0,0,363,363,182,182,182,182, 107
"[57]qsJHcoKScHPIveqxckCzPujINrzJRnecSfFuKIqvmqEFjgkNoeHHcjGoL",8.30767e+34,3.16913e+29,5671,0.885906,149,16,132,17,16,0,59,59,247,247,126,67,76,73, 108
"[101]qASyihhBhFscjFjmcFNdzjdfpmQPHoGlfNDNevBspxovurmEFaKHPIppSFCrNgBDRLEsubQuDQquGoxHoaLOClPdHMIHbNJjebSjm",2.00867e+59,2.923e+48,4547,0.820261,306,55,251,55,55,0,112,112,239,239,138,110,203,119, 109
"[97]cCEigFiDEHlRdsmwQcfvEhOKPgHbnReqPIyDlckbHgPuuBQhgMFkekBDFFPcOPfpPlRGQGhMBaAzzxeddHoJSHcPfaLHPIbnQ",4.11376e+62,9.13439e+46,6111,0.853242,293,43,250,43,43,0,43,43,132,132,72,64,89,54, 11
"[98]sadBJMpQvRGRBhzRaQKHNJgqyRLMgqgqGwBFjguPAtFwMOINDBlGOjRwzjRmvwHQgDOOfSCLGxxNuihyMAABiylptISqqOnGvs",1.03846e+34,4.05648e+31,4673,1,112,0,112,0,0,0,0,0,214,214,58,58,55,55, 110
"[126]iEkDwcneSqdPuaBGrBwxfijGoHtHplbLusABirbyovkFGNAeAhORyuiwASRFdnPRyaMfyOfauJwwpzhHHttcRdKpuHNJPOCynQfbfFIPOBlzkApfvpwRvLqpyJScIL",1.55414e+85,8.83424e+71,8364,0.80786,458,88,370,88,88,0,88,88,173,173,197,109,88,88, 111
"[128]PFHoJHSKJwHcNcJHRLkSIKjqpDLqkrhtjublsECkqGdnalyKpDjPlvKxybkNAtRnDcdcpbrqJhSFgByJDdzoQKkuSkJypRxQcHyGfqaOkJBsAtqpconqhCDvrhytlhMS",2.03704e+90,2.65846e+36,7575,0.778966,561,123,437,124,123,0,123,123,186,186,124,124,251,127, 112
"[103]JEmOLfeQqOCcBAeuFdetmBRApbKtAkmjNbRvaHzlQBPIRGcRkezcMKcHqOGbOdAaecnjfbJuRuaaHFRLCQkSorwtSpJkwuJEjibpblQ",1.11504e+43,1.62259e+32,3468,0.822727,220,39,181,39,39,0,39,39,103,103,40,40,77,38, 113
"[69]tHcocfChKCIEHrwIEnrBcNJNvIhPJCpsDhNrgonBKJknGNINfdMLHvdNJqCecPNiokPPN",1.18571e+80,1.25542e+58,4588,1,265,0,265,0,0,0,0,0,122,122,69,69,74,74, 114
"[89]GtAweiHzPIqNiECadCmEltksfvPtzjGDswinGBJwmIkPuhJqSyAmeNRKJEvoAyuRfvHckOcLQPzvknzHRLfMyEwoO",8.71123e+40,5.0706e+30,3886,0.833333,204,34,170,35,33,0,33,33,106,98,36,35,63,37, 115
"[110]nbkcvJHOLhSHRqMIPEcMKHzeRqPyQcBFfScDtxndGILqyjycahSQjLxEqBPEEjbpSGPnJrmtKAolLuIjDIQyxykBskSMuoLLIqettKEJKJGKop",7.41069e+78,1.32923e+36,5422,0.77131,481,110,371,110,110,0,110,110,157,157,110,110,214,104, 116
"[91]CRLlaHNSqzcjtzzzHRBNJhRzAvnwiRHnFaPGRqSKChIztKkyayxoqGjIEtbAviyGihLArQvCALhcRqBqokfBbpHlPfa",3.6185e+75,1.4615e+48,12957,1,250,0,250,0,0,0,0,0,125,125,60,60,65,65, 117
"[43]EQoHRLHPIbdnKngABvHcfoKSnGsbJPKfQdxHRQCxLzP",1.70141e+38,2.02824e+31,5291,0.870588,170,22,148,22,22,0,22,22,89,89,30,30,51,29, 118
"[216]cvnMmAGshpxOSmddFbDCrdvnNrvyjznEOuHNJHNCLOHOqPIprinpdiBBaHQlomcEddRKSScvFctkPGAOCFqSfxhxbJuxRooDjnbcbeLFaeLNqEOxkARJSzwoketiGNyBJDHmhuxKRMiMouIahSpFSFbELNinMdCaFmoDLoFfmFwLCrBnOzaQsGyEupAJopPSGvLsspsomCliRqlzkxtDuqmq",2.03704e+90,2.03704e+90,8428,0.75793,599,145,454,145,145,0,849,849,1170,1170,848,848,1694,845, 119
