"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1,0,95,1,117,0,60,58,0,58,58,59,0,1,0,0,0,"True",1
"2",1,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.4641,0.8,95,5,1,4,1,1,0,1,1,4,4,1,0,0,0,"True",1
"3",2,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",2.14359,1,95,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"4",3,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1,0,95,1,117,0,60,58,0,58,58,59,0,1,0,0,0,"True",1
"5",4,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1,0,95,1,117,0,60,58,0,58,58,59,0,1,0,0,0,"True",1
"6",5,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",2.14359,1,95,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"7",6,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.61051,1,95,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"8",7,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1,0,95,1,117,0,60,58,0,58,58,59,0,1,0,0,0,"True",1
"9",8,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.4641,0.8,95,5,1,4,1,1,0,1,1,4,4,1,0,0,0,"True",1
"10",9,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",2.14359,1,95,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"11",10,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",2.14359,1,95,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"12",11,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.61051,1,95,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"13",12,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",2.14359,1,95,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
"14",13,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.61051,1,95,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"15",14,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.4641,0.8,95,5,1,4,1,1,0,1,1,4,4,1,0,0,0,"True",1
"16",15,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.4641,0.8,95,5,1,4,1,1,0,1,1,4,4,1,0,0,0,"True",1
"17",16,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.4641,0.8,95,5,1,4,1,1,0,1,1,4,4,1,0,0,0,"True",1
"18",17,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1,0,95,1,117,0,60,58,0,58,58,59,0,1,0,0,0,"True",1
"19",18,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.4641,0.8,95,5,1,4,1,1,0,1,1,4,4,1,0,0,0,"True",1
"20",19,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",1.61051,1,95,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True",1
"21",20,"[95]JKAxHBGGaHMfmzqPIkJCQIHKNkQMqyNFpErCmanGuinbukbFplniNbfJgAllDFPDDeIsRpxnQwMInHvPsayuohMbzebGdqb",2.14359,1,95,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True",1
