genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[94]ejussBHGRNcqaAmMKJCRlPFjaraGCyxiPvNstyhCjMOPFgLaibfMzEgjeOyIHhFmntboqfEHRrHOrhLqoFfdmkdFgsFtHn",2.85312,2.331,2634,1,10,0,10,0,0,0,0,0,16,14,6,4,0,0, 1
"[91]SxLcCSfKLnmQlBLoackkkwNJHSKEHPDqfLMcPMqGImzaOoRmfRAQqkDaSILHoDqcsOehAteOPgpRIopOLqrIiKSRMwe",4.27902e+11,264510,2928,0.795359,474,97,377,97,97,0,97,97,169,169,209,112,96,96, 10
"[62]qHOKHNJgqaIGLqABRvuSrtReFCpORJsybdmPLhIHumixzxlClpbtSdHNpzGmqR",913160,290961,2931,0.855721,201,29,172,29,29,0,29,29,99,99,73,44,29,29, 100
"[100]JGPosxKzfoHkJyxdxjkfAkmGDDqbIKSmrBQEQJqGOwzAttGtejhivGcIiOrwRqoGuvsFJqHmRfNorIvMyaANDulGhgQuirmIjxuw",1.4641,2,2552,1,3,0,3,0,0,0,0,0,4,2,2,1,0,0, 101
"[149]jfQfIRmyPAQRKwybNGOzzfhicchpuwEccMizRlfxAwHNJHOKNbCHpdrOFgqIMRLCtHMSvGtDIGoxNyRwgeJhCIhnbtvobyKGEABioBfvzxEgCCBvJqHlHcuyOoLhrzlhAMRtLMBbiCSylgQoIbEAg",2.61701e+12,6.26492e+11,2461,0.771845,618,140,477,141,140,0,255,255,381,381,496,240,255,255, 102
"[127]ByhyiuDsHNJOKGflbHeqftovMGLcuKhFtGnRuabnGKRgGClgtrrQzALaAkcrNcIKSwjgbxlodJGojvILBqaBGivsHhRMMOANOwGIoMbxcKsjieHCtARoojgkikjosEp",2.85312,1.77156,2586,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 103
"[84]JGSFaCQvHucMkyQugOnfKkJbvjqLbdHmCsOKwGmRcewyKRsvhdNQytMfbApNldHGCItNGyHDAiMrpRDNgneH",1.4641,1.21,2532,1,3,0,3,0,0,0,0,0,2,2,1,1,0,0, 104
"[91]vHNQKJRBrMEqtGfqoaQkrhoyBPJPfhJqBnaMzIrDmzExclHEeSiMwFukvtmoGnHajruJtFuhuqblfrghotmhhsrbyRr",2.85312,2.85312,2523,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 105
"[81]zwHHAOKJySJLFRFvGCoNsCRpxGmhiMuJwEmCBiNGGDHdbsRcPmLammPchzzKQirgQzDAymNQDHjBIvEsu",3.13843,1.61051,2517,1,11,0,11,0,0,0,0,0,8,8,2,2,1,1, 106
"[99]mFGbyaOLPgHNJSKBkGqtzQnPytRAFsOSzKfwrsinxuEkwnAlcvipsJpuLfrtaIFQnOddPgNkohjdduPJJbbxOubponQRwxmRbIJ",2.15318e+06,1.77156,2824,1,152,0,152,0,0,0,0,0,94,94,31,31,27,27, 107
"[91]HFHHNJHSKHPOqIperLqCjqzgHjixqSSsMqBCGchGddPminKoworKArJblOmdbgSCQhgdbvegPqyBqgswNEJmgdiDxgJ",4.00962e+09,754677,2757,0.809651,373,71,302,71,71,0,71,71,143,143,160,89,70,70, 108
"[89]BHNJKEMltJPMshHRoJhkGSmmSKtdOFLGHHhjlORFcsonuzDdwClRBoeFmBAHuPKSzFnLrGnwxAiwIJyypzbyFRlJO",2.14359,3.14359,2572,1,7,0,7,0,0,0,0,0,12,12,2,2,0,0, 109
"[98]JGDvsRPJxsHzFEEQfPEQQaGqMpfCeBAFLjPkOKGHEqQbbpjweckfPlsfxwSvwCNSfsfGLsAEOMcHtjqczgyMoOdqmuMaDQSpqe",1.4641,1,2522,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 11
"[99]pbzDalkHMsFMKRCAbJlRsGNcvCwugdgJSbDJmmdLgdBPRuAhMCnkcvLfbkKxzyMNercSFsfsqIgOsozeGKDyLCFbwdxOwsduBkC",2.85312,1,2623,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 110
"[109]xzHlNJlFSmKMJySxSRGwSBPFnRbltgGcBhJRLpBklJxmozCIqvsmmOlOEoOwAKfpdpgJgMHOxmlzohDJbLOzHCnhunSiFKyexxqjwDscIkwMc",3.45227,2.59374,2584,1,12,0,12,0,0,0,0,0,9,9,2,2,1,1, 111
"[99]eJHOxGqoJpxMAeLIxOskjGHdjMnIJueofAEPaRpxKRJnSdRESPPkfJbvHvQmbObAeDpHqrnLsrSpzJvgvHqeykmRtikEvsMJbbk",1.61051,2.61051,2495,1,4,0,4,0,0,0,0,0,309,9,0,0,0,0, 112
"[103]hszBFoNxHgRKQJqILHqJAHSdyLIvKchaoczJrbIChaOLHtPiIKQMLIRKQOGFttxsFaMLOMJRxOKmPQNamEyJHbyMrNPqmgaRbKQEMom",3.31373e+09,123396,2702,0.795866,387,79,308,79,79,0,79,79,154,154,155,76,78,78, 113
"[100]rnHNJjSKrHHNJecNyjeMGdbquLdKqgxtgqMOfdwLqKRPbmBtOnwfcbSznRfGyGkxSdAuNxfQRPJDewoLiDjqhKJCEKyOvoNFhtkF",2.85312,2.77156,2578,1,10,0,10,0,0,0,0,0,12,12,5,4,0,0, 114
"[93]yNJpNMRpGHRKqBxxjcnuCqkuoiHLkAulCzavaScwdQdrupesyObIIaawfnFkrqHGnCBmAvhJHngEwHQKCPrDgQbQNSCAN",2.85312,3.59374,2519,1,10,0,10,0,0,0,0,0,16,16,5,4,0,0, 115
"[101]yAzitpNAnHNJGSDCKROHyNEqFfEuqHtSyfMljLadqOdIkNddQgeGDKGxkAHvrxfbcJKFSxSdAFiMimeAbaAGtDwtRgEuLizOoEdft",6.7275,4.13843,2705,1,19,0,19,0,0,0,0,0,35,35,5,5,12,10, 116
"[107]OPIRfyPKBfHNJHRbLNJHqBsPAOSrOzhgfvzyQLdnIgpzisfwhndgQjyxmbezDPgRuBMMoIHpNOLMkcqjwdysgvuSAuJovkmKDoeFuOeoSDP",7.58055e+11,264510,2694,0.772901,524,119,405,119,119,0,119,119,170,170,119,119,235,116, 117
"[56]jzBuHNJHRKqGIHcLqedNfkDHJOMzKhfpaMHBnHuyQlipdrOBaBeabCmm",1.75275e+07,2.15318e+06,2995,0.865546,238,32,206,32,32,0,32,32,120,120,86,54,32,32, 118
"[114]JRfKdGNJDlHqMBuMalrFskqxnPSOveIvivCHwJnyFCPCKlOirncEMtFKQglgvGANRxiwbIKrNNqsmzBFNeagctfqQzRkfmwEKPKvqklGEHvnaeQNEx",2.59374,1.94872,2511,0.909091,11,0,10,1,0,0,0,0,8,8,3,2,0,0, 119
"[88]ftNJHSQGKHNqFRCILCwmedpSmbxkcoKhvJynQvOPqezcNaCHSHEDiqrdIjBSyvoSndqqnnbumsGfiHDtyHhCSaao",2.61701e+12,387269,2711,0.779174,557,123,434,123,123,0,123,123,194,194,240,117,123,123, 12
"[73]HDGNJHSKHRqvcPqFeCFaMsIoGGijBlpeRRfkfqMHrzvRfvjCCFImEjHmjNMPBzGRoBzKPcIFL",1.03999e+10,830145,3017,0.796069,407,83,324,83,83,0,83,83,143,143,182,99,82,82, 120
"[76]uFNxytiNNQIoLHRKhHNJqJtdrlzzsFHxroCvpECRAHowCeoPlSgSNLpFtNqJuhepxpyAgJttrtqz",8.99438e+06,26854.5,2702,0.815094,265,49,216,49,49,0,49,49,116,116,100,51,49,49, 121
