genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[111]znyiJRPRAohkfkEsHwcqbJhljDKGRPddDsxdaDOaLBupMMpGfvFzeIeHQbRSAjsHSbmEvnLrxicagREQJhdpGpoHShRQFReSOKqaFfJwNOJlqRm",2.07692e+34,1.54743e+26,4605,0.864516,155,21,134,21,21,0,21,21,88,88,46,25,21,21, 1
"[172]zzQEzzzwbzGFbwgzzztezczzzzzztDQRzGzzzhFzBdpgzrRxzzPvHPvOKoGHOqncflBDeeQcECNcJHbMoJhqlfyfOsAILCNJdHSqBgnHrBPOLhtzKrkastbQMbdmpHrrdGEPzGlzCBxvzJNhtlrgJbjbvwtCElGNnyihAiFlRsLf",2.03704e+90,2.03704e+90,11068,0.781588,554,120,433,121,120,0,120,120,183,183,251,130,120,120, 10
"[83]RKkMmRGRzBHnqarPtddwumJMsvcHcMIdaScBRpBuPmLsNtjErhPrQpHNDoDajoPQSkLQCiibaAqjcHvNbva",5.57519e+42,6.49037e+32,4903,0.881081,185,22,163,22,22,0,40,40,185,185,52,51,94,54, 100
"[76]DSiyipCptHbDbfSKHPDSOGQbPCabuLsCebwqppjwflEDJfHbSDxzMlbcajPyILHSDasxdBKIJgrK",1.1692e+49,1.11504e+43,8621,0.8375,240,39,201,39,39,0,39,39,115,115,87,48,38,38, 101
"[260]PuoGHkNzaAPyiawimBHNJBABbcHRveqkAIzzBlrALSMJBjFiwocIIeaJOlGyvolgkoRQivnyFletdxsxgibRmwLGqjsoFabACeLJQFflKtrOqytIcDPDNnkvLOMmcPoANJFigJbPPwJkcIbRquusOlCsmtOlCHDwcmNsNhgndjgljEaHmCwjdDihdrlKOlQGmHFfiPmDCOtmjvbbpAbPqkFfFkxekHrSNFqMLciyDFntOfcSGIIGFzCSLdFLJdlgPOeK",2.03704e+90,4.74284e+80,9643,0.801541,519,102,416,103,102,0,211,211,343,343,450,238,211,211, 102
"[116]zQGPpiknhpoBeneHoGQIBjNbKenepANlffHNJHqzrrpyRRQCOKMcMcSOQvcOQyrpFgpsHQgqwkvfHlNtNwMKoJPjjQqBcmuNJHNCLpcKHPOqPzNyoNQI",2.03704e+90,2.03704e+90,10616,0.910761,381,34,347,34,34,0,74,74,318,318,189,189,278,204, 103
"[94]OCDeeBpGJHncblsoAieszRfLHNJqPfBaPbbEHAyDwdEcbtdpnSRJlyFrHmLgQuNERgCQfHqeesHcfmnKfOAARyzzoaHbRG",2.03704e+90,7.84638e+56,10635,1,332,0,332,0,0,0,0,0,155,155,89,89,88,88, 104
"[85]lmjeRfblPLpeabFNjNJhQrRmfRzuHcNcJHRfQCyBPgHkgFfOASchAFRHzzRJzNeKNeGleBfNHRkKzxcSynjrq",3.13855e+57,1.1692e+49,5505,1,190,0,190,0,0,0,0,0,193,193,74,74,85,85, 105
"[178]eBofrFAgBilesPIQOnilMPKyHMldEbimtduQJRLHOLpsHgQqQaCMqcvehBfdoCEScGGdDqSrBowDAGCibumMFsQjhQhwjvuSElKhclvyBsrLxMzoEMzEKRQbRocERymIqvxwlorIedvoeAPrbeHnJFuJkqHIPxzJdjrmsDeiaCzlRzferi",2.03704e+90,5.92855e+79,11086,0.802102,571,113,458,113,113,0,113,113,206,206,113,113,252,139, 106
"[63]kcJScfrzLdAGJFvLHcHMQCajyaoLReCSzleofheRqBfOaodIMeRyHoPARoGzKCp",7.13624e+44,2.12676e+37,5638,0.83945,218,34,183,35,34,0,34,34,102,102,34,34,82,47, 107
"[80]qNJGHyhAfSBGfKAJHRLopBmoqiqhQQjlwNFKvyNNhgJpcqdSQpHJtuJgkuSonHQEBukggEtmtMliekJu",4.8357e+24,262145,12659,0.987952,83,0,82,1,0,0,0,0,69,69,12,12,21,19, 108
"[94]tjHlvkjEEfDbAnRsubPokxzHnzBlncpKodBchabHRAycNJPiqOLqcGCaHMKFIBzEhMvSpiMrsrgmzxpnGhMCFDomKeqDxI",3.6185e+75,1.70141e+38,3820,1,250,0,250,0,0,0,0,0,202,202,82,82,94,93, 109
"[133]HjGohOBtaRKgqEcfPLldRjeOCvMsfKCabRfkLRfcCkMiwlBzEownQmvtruqezBJddCMdAthMeRyCxFKnmGFdlBymbgtlqxMcQiRfmlwptBpIiABDQiQJdxKdlNNfHkraHNJOL",4.29497e+09,65537,8194,0.969697,33,0,32,1,0,0,0,0,33,33,9,8,8,7, 11
"[32]JHSLHFbpcJNCFBbSDaeHxhIFKGNREHob",2.78759e+42,1.66153e+35,7087,0.846535,202,31,171,31,31,0,31,31,103,103,30,30,69,38, 110
"[98]gMvPnPCfjtzRIRpHHeRykcoLlSEAiNvSnHwnKxfgobdGyJqiHBxhHyQbAMvOBDHxAlqCocEvDvlxgPdcamlPrlrDLzwGmRfjJF",2.07692e+34,5.0706e+30,4039,0.859873,157,22,135,22,22,0,22,22,91,87,23,23,43,25, 111
"[111]BjvJlNiHcScgQiKRnaFBwzHJlFANkCSgvwDraDyOyIhQMdaILmJJcJvlGDKwrKJiExcosQJCzeSdILvMvQKhLjyISvAdtxkvsRfRBsGKJOzCMPv",32768,1024,3283,1,14,0,14,0,0,0,0,0,11,11,2,2,1,1, 112
"[122]liRfcqbozgPkPrzNxGMzPNlcScdSficodFilcqfOJPNPDsCvtPPHuhLwQpMBtyJHSpeacbapobtLNduHQebaeeeffcbadfccacadfdfedSPbQqIyDadimiBcbK",2.03704e+90,2.03704e+90,11466,0.791519,566,118,448,118,118,0,388,388,563,563,387,387,763,375, 113
"[123]HPHhhlhNqReCBoFgxPcJoiQbbbCrggNevHobHNqfzdocblbzAniioMFiueOvvybcyppziihizzffpdeafEEjRGuHnLgdHPIRqbRdgHcbCfbrMcKNPCafgJikOlN",1.60694e+60,7.66248e+53,4905,0.869888,269,35,234,35,35,0,65,65,221,221,112,112,174,109, 114
"[166]eOAkeEpbxQDlfLBexHoDKHDqJBdnefDOGaHPRqoafmeFIqqiabBPtOnwfxuewLAhvjAPmEKFzAvDLuvldtClckPKsmgsaIIPsNCDyARHvvhzJIQILovysQuHDIyJzuJJbacKJcNjHvwQbxsFIIcNsjBzbFxvuIaSREIpJN",2.03704e+90,2.03704e+90,8419,0.765781,602,141,461,141,141,0,141,141,197,197,264,123,141,141, 115
"[99]BEEoczoFMuDBkMuExMscHrcAmFrRdKzHcuOHdvncBfmMdFdNyoeljuReFofBFAyApCdodJNLrhPAEfDeaahwbkBRaHRcGQedlPI",1.37439e+11,6.71089e+07,2353,0.719512,82,23,59,23,23,0,30,30,57,57,16,16,48,18, 116
"[91]SHGvDAqILuvxkshEaeReGGsGjvHOKDvREJqGKRfMIioivfKbzxgCettRAEvSzHNJReqHPESrHytLHHzRdCMIDhtjtlB",8.71123e+40,1.62259e+32,4074,0.885714,175,19,155,20,19,0,89,89,336,336,115,112,191,104, 117
"[93]sHvtoJHSEADeeczgLkDKDouHLqsojyjQHnlzNPEKHsMLHNDDejkhEbBEyRpOrdFGyuwyisOfRsJCNgistbxzJHqOqIiuF",2.69599e+67,3.83124e+53,7567,0.814085,355,66,289,66,66,0,66,66,145,145,66,66,144,78, 118
"[94]HEzzRyDcECNJPGHcScEHziLPFHPCDkEJBREdmnakPctmjBydSLCajdrrwfkGNlfwPigRaorKFHzFsHPoaPIMyMKrHCacgC",7.58855e+81,1.0889e+40,10740,0.944262,305,17,288,17,17,0,17,17,137,137,78,78,90,73, 119
"[91]fRPSnLHqnfzQeENdoQGDeeczEaNJEHSNfldDgGHlQvjxGEuvlIcNueHdIxkNuJDycBObbpAjzKPzNfzHofAxNJOafHy",2.03704e+90,1.01852e+90,8508,1,299,0,299,0,0,0,0,0,152,152,77,77,70,70, 12
"[78]NHRENJHDiSPRDlfdprRKgMqhoezhNjAorpNIobLHqfhdjSaicuNpNJGAgtOiEHBrmvqIGhGgeDCPnc",1.1692e+49,3.40282e+38,5189,0.840336,238,38,200,38,38,0,117,117,306,306,242,125,117,117, 120
"[148]MExuxOfvjAijyoolSyhyDcBfuRKNJEHPOqwmeDrxAkslxeOpfIIFNCNsecfodogaNRgIuLNjeBRlfsgFHxcqebJayfgHBBcHqAcSsmApulSGOAQyegPGPtGmktKxMdeHkSbJQafxtMwMsfHjOvJb",2.03704e+90,1.85267e+78,10955,0.807393,514,98,415,99,98,0,304,304,508,508,655,350,304,304, 121
"[104]HSgdFRyxtOKpFuAdurPIAtcrCeLOmfemRKcbjMduHBgEmBnzRfalcEKsjkzobrajdrcHkeOFBSAveHEbrjOLRePFquyRGBicJOrpRPRk",1.29807e+33,6.33825e+29,3218,0.847134,157,24,133,24,24,0,24,24,82,82,45,21,30,30, 122
"[73]HvcMSmaOKBPcGNqyHfpeudRamPAicfOJzqJPuHbRLfHqSQpEaDLpqxtovSzuKfJztecxbRLPI",1.42725e+45,1.29807e+33,2939,0.859903,207,29,178,29,29,0,94,94,350,350,128,123,205,113, 123
"[88]fjOqOLPoQKpgHMCOpQKBflBaxJpbpxEDAqamyesNMmwozbALkmeDfQOaGnhvEcidHckdPkoKqdffBfbHPIupgvao",7.30751e+47,2.59615e+33,4537,0.915789,190,16,174,16,16,0,54,54,259,259,115,89,114,86, 124
"[84]qocCLkqszmNLosGKzzxzzbzeifdzzzsRKHOqpamPINJRecEinHBnOhfpdHoLjbfleNyNGBfQfCHhPJQEHBef",2.03704e+90,2.03704e+90,6192,0.990415,313,3,310,3,3,0,6,6,284,284,170,164,168,168, 125
"[108]eBHvcqcuqpamjyOvgrEDaEojvfIDxfKkcHuzMbMgiiQCHdMMwnOQwLHnvpDMyytFyDSlpatQNgHRxvcdtOKjOGDafvwQQHNJHExfzfPSRpDo",7.58855e+81,1.1418e+46,8851,0.996337,273,1,272,1,1,0,3,3,319,319,143,140,133,133, 126
"[98]bpJOaphuNHMpeyNGRjnNbaBwdBfnAgQbayNLzBbHcHpbhHggzPNwzibOyyeFMQeIRooyoOAoxdBfScKqyDmfgrHrDSvecFHcqy",5.90296e+20,1.15292e+18,2527,0.869565,92,12,80,12,12,0,12,12,55,55,25,13,12,12, 127
"[71]wOoGFAmBbcsGaRceKcOOgHcySbEEHzrfiPDElJDybRqeemRGRqOOaRHjJDrQSrxwENydrMD",2048,33,3785,1,10,0,10,0,0,0,0,0,15,15,5,5,0,0, 128
"[89]kHcNenRGHbiPIoLnHNmeNJMbKCOjcKkHRBuIrkhkOFyAIvucxbsdpQsqAGlCxpBhoLfittleDafeOqPHbRKpICabM",3.13855e+57,7.13624e+44,6101,0.823129,294,52,242,52,52,0,102,102,226,226,216,113,102,102, 129
"[91]vcpBHcajHScryznSeKHSvFFcBbaKEncNcoNDKNHxbNxaJGrOabscENbckPwrHirbHrcuNHNJOLHrjpGbHAHthRrExgA",2.07692e+34,1.62259e+32,3197,1,113,0,113,0,0,0,0,0,136,136,42,42,41,41, 13
"[141]MHNJBsoKHRiBSFHNJkqmhPDFCRCgBbyoxIiwDPfzbhhfhjjwjhbcNdGmjhhmNRaRldAxQdxpOFLCMNwpJetqskOxeHhtCqECwlxzyehdhhHbpBIhmcNcGDJnurfGIcSHOMkicDjNhNjze",7.06739e+72,3.21388e+60,8073,0.803526,397,78,319,78,78,0,552,552,984,984,1135,583,546,546, 130
