"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",9.35361e+49,0.994012,130,167,1,166,1,1,0,1,1,54,54,57,56,56,56,"True",1
"2",1,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",7.48289e+50,0.994118,130,170,1,169,1,1,0,1,1,69,69,51,50,50,50,"True",1
"3",2,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",3.74144e+50,0.994083,130,169,1,168,1,1,0,1,1,56,56,57,56,56,56,"True",1
"4",3,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",2.3384e+49,0.993939,130,165,1,164,1,1,0,1,1,53,53,64,63,48,48,"True",1
"5",4,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",7.84638e+56,0.994737,130,190,1,189,1,1,0,1,1,51,51,76,75,63,63,"True",1
"6",5,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",1.49658e+51,0.994152,130,171,1,170,1,1,0,1,1,50,50,61,60,60,60,"True",1
"7",6,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",3.74144e+50,0.994083,130,169,1,168,1,1,0,1,1,60,60,48,47,61,61,"True",1
"8",7,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",6.12998e+54,0.994536,130,183,1,182,1,1,0,1,1,59,59,59,58,65,65,"True",1
"9",8,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",3.74144e+50,0.994083,130,169,1,168,1,1,0,1,1,53,53,59,58,57,57,"True",1
"10",9,"[130]HNJoaKPNCIHcgLSMHqLHqGpcnLClbHsGzzginjCGyftyEJKfqjQSjHnRuODJGOfdEEiqvFSoQtKgzQskebJzKijqdcpJbsBBnGEvEfkEhMiDoLtkQJPPvFdbPxMgvomHOp",5.98631e+51,0.99422,130,173,1,172,1,1,0,1,1,60,60,59,58,54,54,"True",1
