genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[89]fHFEvcCSsaPMlHQHwNjmnoLzKfnbHlsGKxdsqwopDEQIdGCNJrwkBDcRGSAqcOKRHeHoJGNkqqShkFpFupHzxgesQ",1024,1,2850,1,9,0,9,0,0,0,0,0,5,5,4,4,0,0, 1
"[108]GEgHoRLxfsMMlazkjxuHGoJCxoczpwwvmhGGOgKESBtPGKBDDgvqyGFAtcKEFNnSGPjyGmRRyNrvzbcFrzoEwaAAFfLFEfDQSOGBByrSPNDa",1024,8,2897,1,9,0,9,0,0,0,0,0,9,9,0,0,0,0, 10
"[82]HOLHOqPIMHcMKHNJHqGKCRGmOkuFdoeuDKvycpzBbrdNqjhbpnmaOExmmuvokifzGgcrLRuNBhHbCNxNpO",6.10034e+68,7.4467e+64,7900,0.995652,230,1,229,1,1,0,5,5,381,381,357,357,380,375, 100
"[94]sHOKHgQJqarILqJJwDMIglHgFnaObRnFqHRBjeMHKIPLNgvHdcIjQfhEAfQqkqpnomjOIqbyDngrbFhvNJFEPjgaENNudH",2.77411e+56,1.84467e+19,8677,0.741021,529,137,392,137,137,0,137,137,110,110,282,145,137,137, 101
"[63]MHRLcvEMoJzGHqCAvvRpEflGyjqGjeylOMdkpgkazNQAmrwIxLxLBIacydAiHyg",512,2,2813,1,8,0,8,0,0,0,0,0,195,8,0,0,3,2, 102
"[81]HRaabcLHbiSqDaffrpEJCereajcIikDltBrhhdIkMcMumkgKdFfNQeedmIKHRqmdmiMrJGCaFPkhaBOGm",5.47097e+25,1.30438e+19,8414,0.767327,202,47,155,47,47,0,47,47,49,49,46,46,107,60, 103
"[88]sHbOKNuvGHNJcECjJqFBssrMaNejqgwygRePvNsEMEoQigtbJbAbgfavrIhClbpvgFFSFhBFBFpRdrNfsIuHxNqK",256,17,2832,1,7,0,7,0,0,0,0,0,10,10,0,0,0,0, 104
"[106]DqHMKtHoJGqEmOsBtdSiIjzyElSHyyngOzIHLykkJwOopRvyruquvyftcydjfFuHJxsdsDfARtiDhHoCqpSDMwnOcpIFQNoDeHgNyMjSSB",512,5,2890,1,8,0,8,0,0,0,0,0,8,8,1,1,0,0, 105
"[129]KAGqRfMMhGFKctEfPaJHkEnjbiiJlzxtvaryOJuyxHlCIbaOhIemMbsPIQjOzQmAFAEQLhdPjwANePSgNAyDHEonHCNdOqPuvIgiOFacAlIhbLgnqtJGtkmsMQcaxRKBA",4,1,2689,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0, 106
"[70]sHRKxANMksNEHGoJOQzfNlGGqubEuBrxjIcLlEenussHDLundBmeRgQHBwlstcGyoyPlpf",2048,2,2888,1,10,0,10,0,0,0,0,0,146,10,3,2,0,0, 107
