"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","repro_updates","seed"
"1",0,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",1,0,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"True",1503,1
"2",1,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",1,0,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"True",1503,1
"3",2,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",8,1,100,2,0,2,0,0,0,0,0,2,2,0,0,0,0,"True",1500,1
"4",3,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",1,0,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"True",1503,1
"5",4,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",16,1,100,3,0,3,0,0,0,0,0,2,2,0,0,1,1,"True",1501,1
"6",5,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"True",1503,1
"7",6,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"8",7,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"9",8,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"10",9,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"True",1503,1
"11",10,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"12",11,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",1,0,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"True",1503,1
"13",12,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",1,0,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"True",1503,1
"14",13,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"True",1503,1
"15",14,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"True",1503,1
"16",15,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"17",16,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"18",17,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",4,1,100,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"True",1503,1
"19",18,"[100]HMLlvNJHGqnmbLiuzgKvHenzAPkDextkDeKDSvxpnCKKodcCldLDzcslrRsKzvylxfFzOjFSSoeJwxQezhIzqCrlngCsQkMpJnlB",1,0,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"True",1503,1
