genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[116]kNJRKHzGqnkfDssczzfhfFcOkckoOJxfpaxxejHPirOiBSGHCIiblAkItcdClBnwQiismepfMHfygNRyCeNBJbiPlHKaxBJQBrhuOtjytRisdyagDwMk",524288,4,2777,0.95,20,0,19,1,0,0,0,0,10,10,10,9,0,0, 1
"[92]afyHOKloGNJqIunzhiRKCEjxSuHpptjNQxKGbKytdMdppBQEBMvojICPdRyabdfoIgOADuiogQHtBsnQMhuEtffccnHL",32768,3,2920,0.9375,16,0,15,1,0,0,0,0,9,9,9,7,0,0, 10
"[90]vahHACxMuHskBwLisfqEmIwOgCmhDJSernxhxphKmifgfjbvhGlaIzlefJxmgaMHzRKGEGHoJCNOppsKtgDinBGjRr",4096,1,2801,1,11,0,11,0,0,0,0,0,5,5,6,6,0,0, 100
"[93]uxHNJGSKBCJENFPPflGzkzCyejjdMrHvyrCLaGMJdzzqbozPjcPtJIwffmJGpcKRhLKtFBhnhQcREOcdIqBtyREeRGCky",2.09715e+06,1,3147,0.954545,22,0,21,1,0,0,0,0,13,13,9,8,0,0, 101
"[71]CNeNLCndKCHbRqRaPIRbacMHcNJSNQKiCsBmCJgAHqovPHwHCGnaeDhERestqhijKBqwpAD",2.03704e+90,3.56812e+44,6006,0.996933,326,1,325,1,1,0,1,1,103,103,115,115,108,107, 102
"[96]bFeRJHSLHNGPNqIKqbSDtgnrvsidDtuFIKAnyiyDFpDIGzkFcLjLOtdSyosmPxkhKiaLpBkGblhevbRKgaoCysFCRFoqqhxF",1.66153e+35,1.26765e+30,11369,0.792929,198,41,157,41,41,0,95,95,102,102,94,94,209,114, 103
"[84]afkkzDbhuzuwrGckMHANkRMdHNJoSBpCLnllSndqRlBiDbpiNaNauwCJesEoHOQGKoCfccShDFcaKCDaDOFe",131072,4,2934,1,16,0,16,0,0,0,0,0,10,10,0,0,6,6, 104
"[94]HNJHMKHPIMNJHDeevzJgBLiNGHvfqLuCefEbABehcBSHKvwmHqavBESDoDbyOntHQwvMNdRlRumINKCSgEPMQDDquifioI",4.85667e+83,3.96141e+28,15060,0.777555,499,111,388,111,111,0,151,151,171,171,214,162,290,190, 105
"[95]cAptGuPIPLHOKHNJGqSmIRsvxgMvEOiwElBOJonampgfASNCAlzMJEssQnfebthKNGymtsOPfHabGOSEROpvAljwJcceDIQ",1.29807e+33,1.20893e+24,4332,0.815029,173,32,141,32,32,0,191,191,242,242,417,225,190,190, 106
"[105]KGklHKtjOBBGqxQrOnBMFeDLdodrsqlbMPLyaItAzPijaJySnklcpBRbnxGNggJrGKoyuzhqjfLGOuBeHuioaCGjExCxRvKyPsBexRycj",8,1,2563,1,2,0,2,0,0,0,0,0,0,0,2,2,0,0, 107
"[83]HzRBvNJGHqgLCwuOugsnePuigIxwBKllsARfwnqgtIBltpGiQlltRkqnlhDIPiKzSFbKFvARGkqkqqkogHF",4.1943e+06,2,2893,1,21,0,21,0,0,0,0,0,14,14,0,0,12,11, 108
"[103]mNEbOddNwuHNJRKGCnAwhaNQjfmgBqqBawmfmqssrckhIPdFhwNskREiPErOrotzbNAjrSRDdOGzhsHyxmpOlemlBbzqcPKsKgwCixP",2.09715e+06,9,2990,0.954545,22,0,21,1,0,0,0,0,13,13,30,24,0,0, 109
"[80]dHMLHEdSqJHqJHqGBhqIKqcECpJaClpykthPsPoAQSeSuAycjGLIxPDmriCEwqIzQmlwHPuQfDuzkrwS",3.13855e+57,7.92282e+28,6784,0.741117,394,102,292,102,102,0,213,213,186,186,213,213,425,212, 11
